BusinessName,isWomenOwned,OwnershipType,DiverseType,LeaderName,Designation
"Center Sheet Metal, Inc.",1,NON-MINORITY,WBE,MAUREEN O'CONNOR,CHIEF EXECUTIVE OFFICER
"Center Sheet Metal, Inc.",1,NON-MINORITY,WBE,VICTOR GANY PRES,SIDENT
"Blackstone Consulting, Inc.",0,BLACK,MBE,GARY MEEK CHIEF FINANCIA,AL OFFICER
"Blackstone Consulting, Inc.",0,BLACK,MBE,RONALD JOSEPH BLACKSTONE,PRES
"Eclaro International, Inc.",0,ASIAN,MBE,DANIEL S PARK,PRES
"Eclaro International, Inc.",0,ASIAN,MBE,THOMAS SHERIDAN,N CHIEF FINANCIAL OFFICER
"Acclaim Systems, Inc.",0,ASIAN,MBE,KAILASH KALANTRI,PRESIDENT
"Pka Technologies, Inc.",1,NON-MINORITY,WBE,FELISE KATZ , CHIEF EXECUTIVE OFFICER
"Pka Technologies, Inc.",1,NON-MINORITY,WBE,PETER KATZ,PRESIDENT
"Des Wholesale, LLC",1,NON-MINORITY,WBE,ALLISON DE AGUERO,PRESIDENT
"Des Wholesale, LLC",1,NON-MINORITY,WBE,FERNANDO AGUERO C,CHIEF OPERATING OFFICER
Ibridge LLC,0,ASIAN,MBE,DESH R URS,MANAGING MEMBER
Quality Building Services Corp.,1,NON-MINORITY,WBE,DAVID HEYMAN CHI,IEF FINANCIAL OFFICER
Quality Building Services Corp.,1,NON-MINORITY,WBE,MIRJANA MIRJANIC,PRESIDENT
"Henegan Construction Co., Inc.",1,NON-MINORITY,WBE,MAUREEN HENEGAN,CHIEF EXECUTIVE OFFICER
"Henry Quentzel Plumbing Supply Co., Inc.",1,NON-MINORITY,WBE,ANDREW QUENTZE,EL TREASURER
"Henry Quentzel Plumbing Supply Co., Inc.",1,NON-MINORITY,WBE,ANN QUENTZEL,CHAIRMAN OF THE BOARD
"Duggal Visual Solutions, Inc.",0,ASIAN,MBE,MICHAEL DUGGAL,CEO
"First Tek, Inc.",0,ASIAN,MBE,SATYAKUMAR BHAVANASI,CHIEF EXECUTIVE OFFICER
G & C Equipment Corporation,0,BLACK,MBE,BILL DUFOUR,R CHIEF OPERATING OFFICER
G & C Equipment Corporation,0,BLACK,MBE,GENE HALE,PRES
Cooper Tank & Welding Corp.,1,NON-MINORITY,WBE,ADRIENNE COOPER,CHB-CEO
"Maureen Data Systems, Inc.",1,NON-MINORITY,WBE,MAUREEN LANDE,PRESIDENT
"Maureen Data Systems, Inc.",1,NON-MINORITY,WBE,MICHAEL GREENSP,PAN CHIEF FINANCIAL OFFICER
"Waldner's Business Environments, Inc.",1,NON-MINORITY,WBE,JOHN MARSICANO,CHB
"Waldner's Business Environments, Inc.",1,NON-MINORITY,WBE,MEREDITH STERN,PRESIDENT
LINDEN ADVISORS LP,0,ASIAN,MBE,CRAIG JARV,VIS CHIEF FINANCIAL OFFICER
LINDEN ADVISORS LP,0,ASIAN,MBE,JOE WONG,PARTNER
"Medical Transportation Management, Inc.",1,NON-MINORITY,WBE,ALAINA MACIA,CHIEF EXECUTIVE OFFICER
"Medical Transportation Management, Inc.",1,NON-MINORITY,WBE,PEG GRISWOLD,CHB
"Karo Sheet Metal, Inc.",1,NON-MINORITY,WBE,KATHLEEN PORTMAN,PRESIDENT
"A & A Maintenance Enterprise, Inc.",0,HISPANIC,MBE,ARMANDO RODRIQUEZ JR,CHB
"A & A Maintenance Enterprise, Inc.",0,HISPANIC,MBE,ED FINKENSTADT VP SA,ALES & MARKETING
"Island Computer Products, Inc.",1,NON-MINORITY,WBE,DAVID WITHBROE , TREASURER
"Island Computer Products, Inc.",1,NON-MINORITY,WBE,MICHELE FABOZZI,PRESIDENT
Carol H. Williams Advertising,0,BLACK,MWBE,CAROL H WILLIAMS,CEO/PRES/CCO
The Peebles Corporation,0,BLACK,MBE,IRVING PADRON CHI,IEF FINANCIAL OFFICER
The Peebles Corporation,0,BLACK,MBE,R DONAHUE PEEBLES,PRES
Arbee Associates,1,NON-MINORITY,WBE,HOWARD BERKOWITZ,CHM
Arbee Associates,1,NON-MINORITY,WBE,NANCY BERKOWITZ , CHIEF EXECUTIVE OFFICER
ATRIUM STAFFING LLC,1,NON-MINORITY,WBE,REBECCA CENNI,CHIEF EXECUTIVE OFFICER
Pomerantz Acquisition Corp.,0,BLACK,MBE,GARRY L MADDOX,PRES
Pomerantz Acquisition Corp.,0,BLACK,MBE,LINDA RUDI TRE,EASURER
"Mented Cosmetics, Inc.",0,BLACK,MWBE,AMANDA JOHNSON,PRINCIPAL
Mindlance Inc.,0,ASIAN,MBE,VIKRAM KALRA,CEO
"Shine Electronics Co., Inc.",0,ASIAN,MBE,ELLIOT PARK,PRESIDENT
"Edge Electronics, Inc.",1,NON-MINORITY,WBE,ADRIENNE GIANNONE,CEO
AM&g Waterproofing LLC,0,HISPANIC,MBE,MIKE RIVERA CH,HIEF FINANCIAL OFFICER
AM&g Waterproofing LLC,0,HISPANIC,MBE,WILLIAM RIVERA,MBR
Kss Architects LLP,1,NON-MINORITY,WBE,EDMUND KLIMEK,GEN PTNR
Kss Architects LLP,1,NON-MINORITY,WBE,PETAR MATTIONI , CHIEF OPERATING OFFICER
Ampcus Inc.,0,ASIAN,MWBE,ANJALI RAMAKUMARAN,CEO
Ampcus Inc.,0,ASIAN,MWBE,SALIL SANKARAN PRE,ESIDENT
"Si Engineering, P.C.",0,ASIAN,MWBE,SARWAT IZHAR,PRESIDENT
"Tri-Borough Home Care, Ltd.",0,BLACK,MBE,KENRICK CORT,CHAIRMAN OF THE BOARD
"Compulink Technologies, Inc.",0,HISPANIC,MBE,RAFAEL ARBOLEDA,PRESIDENT
"Fejost, LLC",0,HISPANIC,MBE,STEVEN RIVERA,CHIEF EXECUTIVE OFFICER
"Voda Networks, Inc.",1,NON-MINORITY,WBE,CHRISTINE RIZZUTO,PRESIDENT
Infinite Consulting Corp.,0,ASIAN,MBE,ERIC HIRANI,PRESIDENT
Faith Com Inc.,0,BLACK,MWBE,DONALD GREGG C,CHIEF OPERATING OFFICER
Faith Com Inc.,0,BLACK,MWBE,PATRICIA WATTS,PRES
Adam's European Contracting Inc.,1,NON-MINORITY,WBE,ADAM SKARZYNSKI PRESI,IDENT
Adam's European Contracting Inc.,1,NON-MINORITY,WBE,MALGORZATA SKARZYNSKA,CHAIRMAN OF THE BOARD
"Padilla Construction Services, Inc.",0,HISPANIC,MBE,SAMUEL PADILLA,PRESIDENT
Astute Business Solutions,0,ASIAN,MBE,ARVIND RAJAN,CHIEF EXECUTIVE OFFICER
"Rand & Jones Enterprises Company, Inc.",0,ASIAN,MWBE,JOAN YANG,CEO
"Entech Engineering, P.C.",1,NON-MINORITY,WBE,SUSAN BAYAT,PRESIDENT
Power Cooling Inc.,1,NON-MINORITY,WBE,LAUREN LARSEN,PRESIDENT
Cafe Grumpy LLC,1,NON-MINORITY,WBE,CAROLINE BELL,PRES
Winco Corporation,1,NON-MINORITY,WBE,CARMELLA SORBARA,PRESIDENT
R K Software Inc.,0,ASIAN,MBE,GOUTAM SAHA,PRESIDENT
"CQ FLUENCY, INC.",0,HISPANIC,MWBE,BRUCE OPRAY CHIEF,F OPERATING OFFICER
"CQ FLUENCY, INC.",0,HISPANIC,MWBE,ELISABETE MIRANDA,PRESIDENT
Munoz Trucking Corp.,0,HISPANIC,MBE,MANUEL MUNOZ,PRESIDENT
"GNC Consulting, Inc.",0,HISPANIC,MBE,GARRY COOPER,PRESIDENT
"Innovative Emergency Management, Inc.",0,ASIAN,MWBE,DAN MICHAEL T,TREASURER
"Innovative Emergency Management, Inc.",0,ASIAN,MWBE,MADHU BERIWAL,PRES
"Enlightened, Inc.",0,BLACK,MBE,ANTWANYE FORD,CHIEF EXECUTIVE OFFICER
"Carter, Milchman & Frank, Inc.",1,NON-MINORITY,WBE,CLAIRE RECHTWEG,G PRESIDENT
"Carter, Milchman & Frank, Inc.",1,NON-MINORITY,WBE,LESLIE BALTES,CHB
"CONCEPTS OFFICE FURNISHINGS, INC.",0,HISPANIC,MWBE,AIDA DE SOTO,PRES
"Concept Elevator Group, LLC",0,HISPANIC,MBE,ROLANDO M NIEVES,MBR-CEO
"Application Development Resources, Inc.",0,ASIAN,MBE,ADIL CHOKSEY,CHIEF EXECUTIVE OFFICER
"Stag Enterprise, Inc.",0,ASIAN,MWBE,ELIZABETH M GATS,CEO
"Stag Enterprise, Inc.",0,ASIAN,MWBE,RUSSELL CRAWFORD,VP SALES & MARKETING
Spectraforce Technologies Inc.,0,ASIAN,MBE,AMIT SINGH,CEO-PRES
Spectraforce Technologies Inc.,0,ASIAN,MBE,MADHU MODUGU,U CHIEF OPERATING OFFICER
"Garden State Highway Products, Inc.",1,NON-MINORITY,WBE,SHARON GREEN,PRESIDENT
"Arora Engineers, Inc.",0,ASIAN,MBE,MAMIK ARORA,PRESIDENT
"Arora Engineers, Inc.",0,ASIAN,MBE,MANIK ARORA,CHIEF EXECUTIVE OFFICER
"MARGULIES HOELZLI ARCHITECTURE, PLLC",0,HISPANIC,MBE,DANIEL MARGULIES,ADMINISTRATION MANAGER
"Betis Group, Inc.",0,HISPANIC,MBE,HERNAN CORTES,CEO
"Betis Group, Inc.",0,HISPANIC,MBE,HERNAN CORTES,PRES CEO
"Big L Enterprises, Inc.",0,BLACK,MBE,CAROLINE LE,EE TREASURER
"Big L Enterprises, Inc.",0,BLACK,MBE,WAYNE LEE,PRES
Diverse Lynx LLC,0,ASIAN,MWBE,SHUBHENDRA VARMA,MANAGING MEMBER
"Wade Ray & Associates Construction, Inc.",1,NON-MINORITY,WBE,STEPHEN SCHNITZLEIN,PRESIDENT
"MEDICAL SUPPLY SOLUTIONS, INC.",0,BLACK,MBE,JULIE B EDELSTEIN,PRESIDENT
"MEDICAL SUPPLY SOLUTIONS, INC.",0,BLACK,MBE,KAREN LUTZ TREASU,URER
"Cardella Trucking Co., Inc.",1,NON-MINORITY,WBE,DAVID CARDELLA JR,PRESIDENT
"Atlantic Subsea, Inc.",0,ASIAN,MBE,AJAY TALWAR C,CHIEF OPERATING OFFICER
"Atlantic Subsea, Inc.",0,ASIAN,MBE,VINOD MENEZES,PRESIDENT
"OMNI ELEVATOR CO., INC.",0,BLACK,MWBE,MARGARET BESS,PRES
"Johnson Security Bureau, Inc.",0,BLACK,MWBE,CHARLES JOHNSON JR,PRES
"PRECISION CONCRETE PUMPING, INC.",0,NATIVE AMERICAN,MBE,JEAN PIERRE PERRON,CHAIRMAN OF THE BOARD
"GMS PILING PRODUCTS, LLC",1,NON-MINORITY,WBE,ALLISON SWINDELL,MANAGING MEMBER
"INTUEOR CONSULTING, INC.",0,ASIAN,MBE,SREENI R MALIREDDY,PRESIDENT
"INTUEOR CONSULTING, INC.",0,ASIAN,MBE,VIJENDER MIDIDADDI,CHIEF FINANCIAL OFFICER
Ideal Electrical Supply Corporation,0,BLACK,MBE,CORA WILLIAMS,PRESIDENT
"Prutech Solutions, Inc.",0,ASIAN,MBE,NAIDU GUTTAPALLE,CEO
"Prutech Solutions, Inc.",0,ASIAN,MBE,SUDHA GUTTAPALLE,PRESIDENT
"Visual Citi, Inc.",0,ASIAN,MBE,ABBAS DEVJI,PRESIDENT
URIEL TRUCKING LLC,0,HISPANIC,MWBE,MARIA REINOSO,PRESIDENT
"General Foundries, Inc.",0,ASIAN,MBE,ALOK TODANI,PRIN
"General Foundries, Inc.",0,ASIAN,MBE,RITA TODANI,PRESIDENT
"INFINITE GLASS AND METAL, INC.",0,ASIAN,MWBE,HAZUKI MOUNIER,PRESIDENT
314e Corporation,0,ASIAN,MBE,ABHISHEK BEGERHOTTA,PRESIDENT
Quantum Electric Corp.,0,HISPANIC,MBE,RICHARD SOBEL,PRESIDENT
CHAMPION PAINTING SPECIALTY SERVICES CORP.,0,HISPANIC,MBE,CARLOS HERNANDEZ,PRES
AMERICAN PILE AND FOUNDATION LLC,0,HISPANIC,MBE,NELSON FERREIRA,CHIEF EXECUTIVE OFFICER
"Arora and Associates, P.C.",0,ASIAN,MBE,SURINDER S ARORA,PRES
"KAPRIS, INC.",0,ASIAN,MBE,INDERJEET SINGH,CHIEF EXECUTIVE OFFICER
MENDEZ TRUCKING INC.,0,HISPANIC,MBE,MUNOZ ORLANDO,PRINCIPAL
Infopeople Corporation,0,ASIAN,MBE,SHYAM GULATI,CHIEF EXECUTIVE OFFICER
"PLANLED, INC.",0,ASIAN,MBE,JANIE CHUNG , CHIEF FINANCIAL OFFICER
"PLANLED, INC.",0,ASIAN,MBE,JOHN HWANG,PRESIDENT
Innospire Systems Corporation,0,ASIAN,MBE,RAJASEKAR DURAIPANDIYAN,CHIEF EXECUTIVE OFFICER
BERRY INDUSTRIAL GROUP INC.,1,NON-MINORITY,WBE,DEBRA BERRY,CEO
BERRY INDUSTRIAL GROUP INC.,1,NON-MINORITY,WBE,PETER BERRY,PRESIDENT
Shinda Management Corporation,0,BLACK,MBE,RICHARD C BRAMWELL,PRES-CHB
"DBMS CONSULTING, INC.",0,ASIAN,MBE,SUNIL SINGH,CEO
Quality Shredding Corp,1,NON-MINORITY,WBE,TOBI INNERFIELD,CHIEF EXECUTIVE OFFICER
"3G WAREHOUSE, INC.",1,NON-MINORITY,WBE,LAUREN NICHOLS,CHB
"CMI Management, Inc.",0,BLACK,MBE,ABE ABRAHAM,PRESIDENT
"CMI Management, Inc.",0,BLACK,MBE,AZENEGASH ABR,RAHAM CHIEF OPERATING OFFICER
Champion Electrical Mechanical Builder Corp.,0,HISPANIC,MBE,NESTOR R SERRANO,PRESIDENT
"BBA Project, Inc.",0,ASIAN,MBE,JUNICHI KOJIMA,CEO
"Kbi Services, Inc.",1,NON-MINORITY,WBE,ANNBETH ESCHBA,ACH PRESIDENT
"Kbi Services, Inc.",1,NON-MINORITY,WBE,SHILPA PATEL,PRINCIPAL
Grignard Company LLC,1,NON-MINORITY,WBE,KELLY A GRIGNARD,MANAGING MEMBER
BLACKRIDGE CONSTRUCTION LLC,0,BLACK,MBE,CHRIS CARROLL,PRESIDENT
Athena Consulting LLC,1,NON-MINORITY,WBE,MELISSA PAPPAS,MEMBER
"Backstrom McCarley Berry & Co., LLC",0,BLACK,MBE,DON BACKSTROM,MEMBER
"Crossmedia, Inc.",0,ASIAN,MBE,KAMRAN ASGHAR,PRESIDENT
"Titanium Linx Consulting, Inc.",0,BLACK,MWBE,MARGO CARGILL,CHIEF EXECUTIVE OFFICER
"Oakland Consulting Group, Inc.",0,BLACK,MBE,CEDRIC E NASH,PRES-CEO
Stern Brothers & Co.,1,NON-MINORITY,WBE,JASON MIRIANI C,CHIEF FINANCIAL OFFICER
Stern Brothers & Co.,1,NON-MINORITY,WBE,TERRENCE M FINN,PRES
Sovereign Consulting Inc.,0,ASIAN,MBE,RAVI GUPTA,PRES-CEO
"Hmg Plus, Inc.",1,NON-MINORITY,WBE,KAREN DIPERI,PRESIDENT
"Hmg Plus, Inc.",1,NON-MINORITY,WBE,MICHAEL DIPERI,I CHIEF EXECUTIVE OFFICER
"Grant Int'l Co., Inc.",0,ASIAN,MWBE,HARK LEE,PRES
PRACTICE PROVIDER CORP.,1,NON-MINORITY,WBE,NANCY ROWE,PRESIDENT
"Universal E-Business Solutions, LLC",0,ASIAN,MBE,ANU BHARTIYA,PTNR
"Universal E-Business Solutions, LLC",0,ASIAN,MBE,MO TAKHIM CH,HIEF OPERATING OFFICER
HALL ENTERPRISES INC,0,ASIAN,MBE,NICHOLAS SCIGLIANO,CHIEF EXECUTIVE OFFICER
HALL ENTERPRISES INC,0,ASIAN,MBE,PAUL CAMERON PRESI,IDENT
K&P Facilities Maintenance Inc,0,HISPANIC,MBE,CARLOS A ESPINOZA,PRESIDENT
K&P Facilities Maintenance Inc,0,HISPANIC,MBE,CARLOS ESPINOZA C,CHIEF EXECUTIVE OFFICER
"Diamond Reporting, Inc.",1,NON-MINORITY,WBE,CARL SACKHEIM,PRES
"Sharp Decisions, Inc.",1,NON-MINORITY,WBE,KAREN ROSS,CEO
"Sharp Decisions, Inc.",1,NON-MINORITY,WBE,STUART GOTTL,LIEB CHIEF FINANCIAL OFFICER
"Multi-Phase Electrical Services, Inc.",1,NON-MINORITY,WBE,KERRY J KELLY,PRESIDENT
"ASTACIO PLUMBING & HEATING, LLC",0,HISPANIC,MBE,RICHARD ASTACIO,MANAGING MEMBER
"Turtle & Hughes, Inc.",1,NON-MINORITY,WBE,ROBERT SCHALTZ,BR MGR
"Neil Hoosier & Associates, Inc.",0,BLACK,MBE,NEIL HOOSIER II,PRESIDENT
Cynet Health Inc.,0,ASIAN,MBE,ASHWANI MAYUR,CEO
Cynet Health Inc.,0,ASIAN,MBE,NIKHIL BUDHIRAJ,JA CHIEF EXECUTIVE OFFICER
HIGHWAY SAFETY PROTECTION CORP.,1,NON-MINORITY,WBE,CATHERINE MARANO,PRESIDENT
"Panther Graphics, Inc.",0,BLACK,MBE,DARYLL A JACKSON SR,PRES
"Panther Graphics, Inc.",0,BLACK,MBE,EBONY REYNOLDS PRES,SIDENT
"COASTAL FIRE SYSTEMS, INC.",1,NON-MINORITY,WBE,FRED GANDOLFO,PRESIDENT
Strategic Security Corp.,1,NON-MINORITY,WBE,CHRISTIE SORDI,CHIEF EXECUTIVE OFFICER
"Ans Consultants, Inc.",0,ASIAN,MBE,ATUL SHAH,PRESIDENT
"STI-Co Industries, Inc.",1,NON-MINORITY,WBE,ANTOINETTE KAISER,CHIEF EXECUTIVE OFFICER
Intellyk Inc,0,ASIAN,MBE,VINEET KUMAR,CHIEF EXECUTIVE OFFICER
"Karen Pearse & Co., LLC",1,NON-MINORITY,WBE,KAREN PEARSE,MBR-CEO
"Karen Pearse & Co., LLC",1,NON-MINORITY,WBE,NANCY MATNICK , CHIEF FINANCIAL OFFICER
"New World Security & Services, Inc.",1,NON-MINORITY,WBE,CHRISTINE SULLIVAN,PRESIDENT
"Tri-Borough Certified Health Systems of New York, LLC",0,BLACK,MBE,KENRICK CORT,PRINCIPAL
"ALTUM CAPITAL MANAGEMENT, LLC",1,NON-MINORITY,WBE,MARJORIE HOGAN,CHIEF EXECUTIVE OFFICER
"ALTUM CAPITAL MANAGEMENT, LLC",1,NON-MINORITY,WBE,TIM MURRAY CHI,IEF FINANCIAL OFFICER
"Network of Patrols, Inc.",0,BLACK,MBE,VICTOR O ADODO,PRESIDENT
"Pro Con Group, Inc.",1,NON-MINORITY,WBE,THERESA PRIORE,PRESIDENT
Creative Construction Services Corp.,0,BLACK,MBE,HANSON JAMES,CHIEF EXECUTIVE OFFICER
Z and A Infotek Corporation,0,ASIAN,MBE,SANDESH SHETTY,PRES-CEO
Software People Inc.,0,ASIAN,MWBE,NILIMA JAIN,PRESIDENT
NATIONAL CLAIM EVALUATIONS INC.,1,NON-MINORITY,WBE,BETH RESZELBACH,PRESIDENT
TWINSTATE/VOICE.DATA.VIDEO.INC.,1,NON-MINORITY,WBE,DEVI C MOMOT,CEO
Ameex Technologies Corporation,0,ASIAN,MBE,DAMODARAN VENKATESAN,CHIEF EXECUTIVE OFFICER
Ameex Technologies Corporation,0,ASIAN,MBE,RANGANATHAN SRINIVASAN,N PRESIDENT
"Coastal Environmental Group, Inc.",0,HISPANIC,MBE,RICHARD C SILVA SR,PRINCIPAL
J & N Construction Group Corp.,0,ASIAN,MBE,SANDEEP SINGH,PRESIDENT
Northgate Electric Corp.,1,NON-MINORITY,WBE,DINA DUNN,CHB
Mg Security Services LLC,0,HISPANIC,MBE,MANUEL GOMEZ,PRESIDENT
Rambaire LLC,0,ASIAN,MBE,ROHAN RAMBARAN,MANAGING MEMBER
TELL CAR TRUCKING CORP.,0,HISPANIC,MBE,DENNIS TELL,PRINCIPAL
"Modern Facilities Services, Inc.",0,HISPANIC,MBE,SERGIO BENVENUTO JR,PRES
NEW YORK GEOMATICS INC.,0,HISPANIC,MBE,RAFAEL PEREZ,PRES
"Group Pmx, LLC",0,HISPANIC,MBE,FARID CARDOZO PRE,ESIDENT
"Group Pmx, LLC",0,HISPANIC,MBE,MICHAEL GIARAMITA,CEO
"Greater Than One, Inc.",1,NON-MINORITY,WBE,ELIZABETH IZARD APELLES,CEO
"Greater Than One, Inc.",1,NON-MINORITY,WBE,JIM PLATTNER CHIEF FINA,ANCIAL OFFICER
"Esc, Inc.",0,BLACK,MWBE,MAGGIE M HARRIS,PRESIDENT
"VICTORY SUPPLY, LLC",1,NON-MINORITY,WBE,KATHLEEN TROMMER,PRESIDENT
"VICTORY SUPPLY, LLC",1,NON-MINORITY,WBE,PAM WHITMILL CHI,IEF EXECUTIVE OFFICER
"GREENEBUILD, LLC",0,BLACK,MBE,WINSTON GREENE,MEMBER
"B.G.B. STEEL FABRICATORS, INC.",1,NON-MINORITY,WBE,LINDA BERLINGER,PRESIDENT
Mamais Contracting Corp.,1,NON-MINORITY,WBE,STAVROULA MAMAIS-,#NAME?
"Aay Associates, Inc.",0,HISPANIC,MWBE,YOLANDA KOHUT,PRESIDENT
"Decorama Building & Plumbing Supply, Inc.",0,ASIAN,MWBE,JENNIFER LIN,PRESIDENT
Rangam Consultants Inc.,0,ASIAN,MWBE,HETAL PARIKH,PRES
"CITY WATER METER REPAIR CO., INC.",0,HISPANIC,MWBE,WILLIAM MORALES,PRESIDENT
"GYROSCOPE, INC.",0,HISPANIC,MWBE,CHARLES HOWARTH,TREASURER
"GYROSCOPE, INC.",0,HISPANIC,MWBE,MAERYTA MEDRANO,PRESIDENT
"TRANSAMERICA TRAINING MANAGEMENT, INC.",0,HISPANIC,MBE,GABRIEL ALBELO,PRESIDENT
Novisync Inc.,0,ASIAN,MBE,RAJESH PERICHERLA,CHIEF EXECUTIVE OFFICER
"POLONIA DEVELOPMENT & PRESERVATION SERVICES CO., LLC",0,HISPANIC,MBE,ZORAIDA GONVALEZ,MEMBER
"Hudson Valley Systems, Inc.",0,ASIAN,MBE,ROUEL PAGTALUNAN,PRES-CEO
Erection & Welding Contractors LLC,0,BLACK,MBE,DALE APPLEGREEN,MANAGING MEMBER
"Garic, Inc.",0,HISPANIC,MBE,TRACY RICARD,PRES
"S & N Builders, Inc.",0,ASIAN,MBE,SAKANDER RAJA,PRES
"S & N Builders, Inc.",0,ASIAN,MBE,SAKANDER RAJA,PRESIDENT
JMJ PRO TRUCK'S LLC,0,HISPANIC,MBE,DIEGO MUNOZ,MEMBER
Eldorado Coffee Roasters Ltd.,0,HISPANIC,MBE,ALBERT VALDES , VP SALES & MARKETING
Eldorado Coffee Roasters Ltd.,0,HISPANIC,MBE,SEGUNDO MARTIN,PRESIDENT
"Manna Supply, Inc.",0,HISPANIC,MWBE,LAWRENCE PRINCE,PRESIDENT
Strategic Security Corp.,1,NON-MINORITY,WBE,CHRISTIE DEMON,NTE CHIEF EXECUTIVE OFFICER
Strategic Security Corp.,1,NON-MINORITY,WBE,JOSEPH SORDI,ADMINISTRATOR
LARSEN PE LS PC,0,ASIAN,MBE,RAM SHRIVASTAVA,PRES-CEO
"TBO SITESCAPES, INC.",1,NON-MINORITY,WBE,KRISTINE BARRON,PRESIDENT
